Algoritmo,Acurácia,Precisão,Recall,F1-Score,Tempo (s)
Decision Tree,0.8739495798319328,0.8727137913989126,0.8739495798319328,0.8715426394717288,0.0009989738464355469
Random Forest,0.9159663865546218,0.9201114962508871,0.9159663865546218,0.9169386328640273,0.043107032775878906
Naive Bayes,0.8067226890756303,0.8194578605712683,0.8067226890756303,0.8102597901905861,0.0006270408630371094
