Algoritmo,Acurácia,Precisão,Recall,F1-Score,Tempo (s)
Decision Tree,0.8823529411764706,0.8908320084790673,0.8823529411764706,0.8842627960275018,0.001645803451538086
Random Forest,0.9159663865546218,0.9175640237333208,0.9159663865546218,0.9164849484097437,0.04286599159240723
Naive Bayes,0.7899159663865546,0.8031241084879455,0.7899159663865546,0.7937606415115066,0.0007040500640869141
